215,4.437,52.141,Voorschoten
235,4.781,52.928,De Kooy
240,4.790,52.318,Schiphol
249,4.979,52.644,Berkhout
251,5.346,53.392,Terschelling
257,4.603,52.506,Wijk aan Zee
260,5.180,52.100,De Bilt
267,5.384,52.898,Stavoren
269,5.520,52.458,Lelystad
270,5.752,53.224,Leeuwarden
273,5.888,52.703,Marknesse
275,5.873,52.056,Deelen
277,6.200,53.413,Lauwersoog
278,6.259,52.435,Heino
279,6.574,52.750,Hoogeveen
280,6.585,53.125,Eelde
283,6.657,52.069,Hupsel
286,7.150,53.196,Nieuw Beerta
290,6.891,52.274,Twenthe
310,3.596,51.442,Vlissingen
319,3.861,51.226,Westdorpe
323,3.884,51.527,Wilhelminadorp
330,4.122,51.992,Hoek van Holland
344,4.447,51.962,Rotterdam
348,4.926,51.970,Cabauw
350,4.936,51.566,Gilze Rijen
356,5.146,51.859,Herwijnen
370,5.377,51.451,Eindhoven
375,5.707,51.659,Volkel
377,5.763,51.198,Ell
380,5.762,50.906,Maastricht
391,6.197,51.498,Arcen
